一	one	one	"""One down, 2041 to go. ;)."""	"""To learn this one kanji, I recommend (#2000) this story : Bambi is in a cave, eating a side-dish of salad when trying to learn the kanjis. As he succeed to learn the kanji for """"one"""", you get jealous and decide to shoot him with a slingshot. At this moment you hear the police coming, so you hurriedly burn all the proofs into a fire (so you remove the key-words Bambi, slingshot and fire from recommend). So that when the police arrives, the only remaining clue is a single horizontal bar."""	1	1	1				same;but;second;few;eight;every;two;each;five;time;another;six;four;this;even;first;three;one;seven;only;least;most;just
二	two	two	Two lines.	"""Roman numeral II, written on its side.""
"	2	2	1	ニ	ふ;た;、;ふ;た;-;つ	one;one	other;eight;two;each;five;six;four;both;nine;several;three;one;seven
三	three	three	One + two = three.	"""THREE measurements define the female shape: BUST, WAIST, and HIPS. Waist is the smallest, and for most women the HIPS are wider than the chest.""
"	3	3	1	サ;ン	み;、;み;-;つ;、;み;っ;-;つ	one;two	years;eight;two;each;last;five;six;four;nine;ten;several;three;dozen;one;eleven;seven
四	four	four	FOUR year-olds often put their FOOT (human legs) in their MOUTH - but they are too young to realize.	"""I imagine a giant devouring a human in four bites. First the giant bites off the person's head, then he bites the torso, then from the waist to the knees, and finally the giant plucks up the remaining portion of the human legs into his mouth. See the fourth bite falling in there?""
"	5	4	1	シ	よ;、;よ;-;つ;、;よ;っ;-;つ;、;よ;ん	mouth;human legs	eight;two;last;twelve;five;six;four;nine;ten;several;three;dozen;one;eleven;seven;twenty
五	five	five	三 + two vertical lines = 5.	"""This Kanji looks like a """"3"""" Kanji with two added vertical lines. 3+2= 5.""
"	4	5	1	ゴ	い;つ;、;い;つ;-;つ		years;eight;two;last;twelve;five;fifteen;six;four;nine;ten;three;one;eleven;seven;twenty;10;12
六	six	six	"""Indicating 6 parts of the human body: head, body, 2 arms, 2 legs."""	Six-Six-SIX ((666)) Mark of the Beast!! Imagine that dapper old beastly fellow summoning his top hat to himself. See it scamper over to him on a little pair of beastly legs.	4	6	1	ロ;ク	む;、;む;-;つ;、;む;っ;-;つ;、;む;い	top hat;animal legs	years;eight;two;last;twelve;five;fifteen;six;four;nine;ten;months;days;three;one;eleven;seven;twenty;weeks;10;12
七	seven	seven	"""This kanji is our good old seven, turned upside down."""	I wrote it upside down so I crossed it out.	2	7	1	シ;チ	な;な;、;な;な;-;つ;、;な;の		thirteen;eight;two;twelve;five;fifteen;six;four;nine;ten;three;one;eleven;seven;twenty;10;13;12
八	eight	eight	"""""""Hachi"""" (eight) begins with the sound of the katakana """"ha"""", and it's approximately the same character."""	The valcano hasn't erupted for 8 years.	2	8	1	ハ;チ	や;、;や;-;つ;、;や;っ;-;つ;、;よ;う		thirteen;eight;two;twelve;five;fifteen;fourteen;six;four;sixteen;nine;ten;16;20;three;one;eleven;seven;twenty;10;13;12;15;14
九	nine	nine	Kinda of looks like the kanji of 1　一 with the kanji of 8 八added. So think of it as 　一＋八＝九.	"""Warning - naughty reminder A woman in the doggie style position, waiting for my NINE inches.""
"	2	9	1	キ;ュ;ウ;、;ク	こ;こ;の;、;こ;こ;の;-;つ		thirteen;eight;two;twelve;five;fifteen;fourteen;six;four;nine;ten;16;three;eleven;seven;twenty;11;10;13;12;15;14
十	ten	ten	"""Two needles crossing marks the spot, or you can use the Roman character for ten (rotated 45 degrees)."""	I scared away ten vampires with a single cross!	2	10	1	ジ;ュ;ウ;、;ジ;ッ	と;お;、;と		thirteen;eight;eighteen;twelve;five;fifteen;fourteen;forty;six;four;sixteen;nine;thirty;ten;fifty;three;eleven;seven;seventeen;twenty;10
口	mouth	mouth	Looks like a huge open mouth.	"""Momma used to say: """"Keep your trap shut!"""" This thing is shaped like a trap door.""
"	3	11	1	コ;ウ;、;ク	く;ち		mouth
日	day	day;sun;Japan	"""Open the window, new day."""	Picture two halves of a 24-hr period: Day & Night.	4	12	1	ニ;チ;、;ジ;ツ	ひ;、;か		month;morning;day;afternoon;days;next;weekend;week
